src_id,dst_id,sift_raw,sift_good,sift_inliers,sift_inlier_ratio,orb_matches,f_inliers,e_inliers,opencv_confidence,relative_yaw,relative_pitch,relative_roll,sensor_delta,sensor_visual_residual,reprojection_residual,parallax_indicator
C040,C040,1564,1564,1564,1.0,2000,1564,1564,3.0,0.0,0.0,0.0,0.0,0.0,0.0,SELF
C040,C041,1564,407,331,0.813,750,343,370,1.0,-7.22,0.79,-0.89,9.0,16.22,1.46,PURE_ROTATION_STABLE
C040,C042,1564,275,168,0.611,444,211,215,1.0,-11.57,1.15,-0.91,17.3,28.87,1.48,PURE_ROTATION_STABLE
C040,C043,1564,170,88,0.518,250,109,127,1.0,-18.0,1.99,-1.33,26.8,44.8,1.69,PURE_ROTATION_STABLE
C040,C001,1564,36,7,0.194,10,10,10,0.0,3.74,-54.02,116.92,36.4,32.66,0.75,SIGNIFICANT_PARALLAX (Translation dominant)
C040,C002,1564,24,6,0.25,12,10,11,0.0,4.46,-10.53,-24.15,40.6,36.14,0.92,SIGNIFICANT_PARALLAX (Translation dominant)
C040,C003,1564,25,7,0.28,11,11,12,0.0,43.32,26.87,-35.89,44.9,1.58,0.21,SIGNIFICANT_PARALLAX (Translation dominant)
C040,C004,1564,24,5,0.208,18,9,9,0.0,-12.18,31.16,60.04,56.3,68.48,0.94,SIGNIFICANT_PARALLAX (Translation dominant)
C040,C005,1564,40,16,0.4,16,16,21,0.0,58.12,-65.52,72.29,61.2,3.08,0.7,PURE_ROTATION_STABLE
C041,C040,1460,393,295,0.751,723,345,356,1.0,6.64,-0.98,0.92,-9.0,15.64,1.37,PURE_ROTATION_STABLE
C041,C041,1460,1460,1460,1.0,2000,1460,1460,3.0,0.0,0.0,0.0,0.0,0.0,0.0,SELF
C041,C042,1460,470,408,0.868,882,412,432,1.0,-4.8,0.14,-0.0,8.3,13.1,1.26,PURE_ROTATION_STABLE
C041,C043,1460,340,268,0.788,474,282,308,1.0,-10.76,0.82,-0.49,17.8,28.56,1.37,PURE_ROTATION_STABLE
C041,C001,1460,30,5,0.167,17,11,9,0.0,137.01,-36.77,-30.67,27.4,109.61,0.22,SIGNIFICANT_PARALLAX (Translation dominant)
C041,C002,1460,28,6,0.214,13,11,9,0.0,115.13,-33.72,-41.3,31.6,83.53,0.69,SIGNIFICANT_PARALLAX (Translation dominant)
C041,C003,1460,14,6,0.429,22,8,9,0.0,34.68,13.6,-83.19,35.9,1.22,0.27,SIGNIFICANT_PARALLAX (Translation dominant)
C041,C004,1460,13,5,0.385,15,8,8,0.0,-110.54,17.3,-175.22,47.3,157.84,0.0,SIGNIFICANT_PARALLAX (Translation dominant)
C041,C005,1460,49,14,0.286,10,19,23,0.0,13.92,-28.97,-15.24,52.2,38.28,1.2,SIGNIFICANT_PARALLAX (Translation dominant)
C042,C040,1284,265,175,0.66,475,206,224,1.0,11.88,-1.3,0.57,-17.3,29.18,1.74,PURE_ROTATION_STABLE
C042,C041,1284,443,378,0.853,874,388,407,1.0,4.68,-0.3,-0.03,-8.3,12.98,1.24,PURE_ROTATION_STABLE
C042,C042,1284,1284,1284,1.0,2000,1284,1284,3.0,0.0,0.0,0.0,0.0,0.0,0.0,SELF
C042,C043,1284,398,353,0.887,802,362,373,1.0,-5.83,0.34,-0.55,9.5,15.33,1.01,PURE_ROTATION_STABLE
C042,C001,1284,32,7,0.219,17,11,10,0.0,35.32,28.36,-39.35,19.1,16.22,0.54,SIGNIFICANT_PARALLAX (Translation dominant)
C042,C002,1284,15,5,0.333,16,9,7,0.0,-136.52,-47.9,-115.39,23.3,159.82,0.52,SIGNIFICANT_PARALLAX (Translation dominant)
C042,C003,1284,5,0,0.0,21,0,0,0.0,0.0,0.0,0.0,27.6,27.6,0.0,INSUFFICIENT_CORRESPONDENCES
C042,C004,1284,11,5,0.455,17,7,6,0.0,-9.68,-11.1,105.85,39.0,48.68,0.32,SIGNIFICANT_PARALLAX (Translation dominant)
C042,C005,1284,24,4,0.167,19,10,9,0.0,-41.21,-58.48,12.0,43.9,85.11,0.88,SIGNIFICANT_PARALLAX (Translation dominant)
C043,C040,1321,163,85,0.521,257,111,129,1.0,17.78,-1.89,1.31,-26.8,44.58,1.66,SIGNIFICANT_PARALLAX (Translation dominant)
