,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043
C001,1500,546,252,253,95,22,63,27,7,15,29,22,6,9,6,8,11,12,7,9,7,8,12,11,7,18,16,4,4,19,8,4,5,30,10,7,11,5,8,5,6,5,0
C002,546,1500,543,483,234,79,164,66,23,65,21,32,8,16,8,12,10,13,0,11,7,6,9,10,5,18,14,6,5,25,2,5,6,27,6,6,21,5,9,7,7,5,5
C003,252,543,1500,868,425,176,379,210,60,187,121,34,7,16,6,17,5,6,5,5,15,6,3,11,5,12,11,9,5,31,12,4,9,38,3,6,7,8,8,7,12,6,6
C004,253,483,868,1500,495,225,362,208,82,143,87,27,2,10,5,12,6,7,8,11,13,9,5,11,9,18,19,7,8,39,13,7,4,45,5,6,18,7,7,4,15,6,4
C005,95,234,425,495,1500,462,369,258,165,83,44,15,14,16,8,16,4,8,8,5,10,10,5,7,11,18,14,11,4,35,1,6,4,37,9,6,9,4,8,5,12,9,2
C006,22,79,176,225,462,1500,426,380,272,106,63,27,6,14,7,14,4,4,7,8,7,7,8,11,5,19,9,6,11,29,8,8,5,50,3,0,13,14,10,9,9,7,0
C007,63,164,379,362,369,426,1501,588,236,302,174,50,7,10,7,9,5,6,6,7,5,7,6,7,6,9,10,10,4,17,7,7,5,21,2,5,9,4,7,5,6,8,3
C008,27,66,210,208,258,380,588,1500,438,305,165,68,4,6,14,12,6,6,7,7,7,4,7,7,6,12,7,14,5,0,11,7,2,18,8,7,5,0,10,6,10,7,20
C009,7,23,60,82,165,272,236,438,1500,144,105,87,15,11,15,10,7,6,12,6,6,7,8,3,9,9,8,9,5,4,22,2,9,12,6,10,6,9,8,6,8,8,13
C010,15,65,187,143,83,106,302,305,144,1500,553,109,6,7,9,17,7,7,6,8,7,4,6,7,3,10,7,8,4,10,8,5,7,15,4,5,7,7,7,3,6,7,6
C011,29,21,121,87,44,63,174,165,105,553,1500,150,15,10,14,19,8,4,7,4,6,5,6,6,4,6,6,6,4,0,6,6,5,6,5,6,2,7,7,6,7,8,8
C012,22,32,34,27,15,27,50,68,87,109,150,1500,38,18,40,50,11,6,5,5,11,6,5,11,5,7,11,10,8,11,9,6,7,7,4,5,6,3,8,9,7,7,10
C013,6,8,7,2,14,6,7,4,15,6,15,38,1236,156,72,35,26,13,8,8,9,8,6,5,5,6,5,3,6,7,5,4,9,7,7,6,5,7,4,8,5,7,2
C014,9,16,16,10,16,14,10,6,11,7,10,18,156,1423,118,53,45,24,12,9,13,6,5,0,6,6,5,6,7,8,10,4,7,8,9,15,6,8,7,8,10,6,6
C015,6,8,6,5,8,7,7,14,15,9,14,40,72,118,1500,237,144,62,25,10,13,6,5,9,5,9,4,4,6,7,5,6,9,5,5,6,3,10,6,5,3,6,6
C016,8,12,17,12,16,14,9,12,10,17,19,50,35,53,237,1500,121,58,29,0,15,6,6,6,7,6,7,4,7,6,6,6,10,14,7,6,0,0,9,7,0,6,6
C017,11,10,5,6,4,4,5,6,7,7,8,11,26,45,144,121,1237,146,40,15,14,11,11,7,5,5,6,7,6,8,5,7,6,9,7,5,6,6,3,6,10,6,5
C018,12,13,6,7,8,4,6,6,6,7,4,6,13,24,62,58,146,1257,81,27,22,17,26,7,6,5,9,6,7,9,5,7,9,3,5,6,4,8,4,7,9,4,6
C019,7,0,5,8,8,7,6,7,12,6,7,5,8,12,25,29,40,81,910,56,46,38,30,10,8,6,6,5,5,1,3,8,9,8,6,5,2,8,10,5,1,5,6
C020,9,11,5,11,5,8,7,7,6,8,4,5,8,9,10,0,15,27,56,880,138,64,42,19,15,7,7,6,7,6,7,7,5,7,7,11,4,7,8,3,7,6,6
C021,7,7,15,13,10,7,5,7,6,7,6,11,9,13,13,15,14,22,46,138,900,99,57,26,19,10,9,6,3,7,4,7,3,9,8,7,7,6,13,5,5,6,7
C022,8,6,6,9,10,7,7,4,7,4,5,6,8,6,6,6,11,17,38,64,99,888,114,62,36,28,17,7,8,6,4,7,1,8,1,7,6,3,9,7,3,8,4
C023,12,9,3,5,5,8,6,7,8,6,6,5,6,5,5,6,11,26,30,42,57,114,1187,242,141,93,20,16,7,10,5,3,4,9,7,8,6,4,7,7,6,5,5
C024,11,10,11,11,7,11,7,7,3,7,6,11,5,0,9,6,7,7,10,19,26,62,242,1500,330,178,31,24,8,9,14,6,8,13,5,3,5,2,3,8,2,4,6
C025,7,5,5,9,11,5,6,6,9,3,4,5,5,6,5,7,5,6,8,15,19,36,141,330,1500,195,42,36,12,9,6,5,7,6,2,8,3,4,6,7,5,5,6
C026,18,18,12,18,18,19,9,12,9,10,6,7,6,6,9,6,5,5,6,7,10,28,93,178,195,1500,80,106,49,27,21,8,3,3,5,6,7,7,6,7,7,7,6
C027,16,14,11,19,14,9,10,7,8,7,6,11,5,5,4,7,6,9,6,7,9,17,20,31,42,80,1248,102,91,88,57,31,8,9,9,4,4,9,6,8,4,8,5
C028,4,6,9,7,11,6,10,14,9,8,6,10,3,6,4,4,7,6,5,6,6,7,16,24,36,106,102,1500,195,95,65,38,26,15,7,0,3,7,7,6,8,8,6
C029,4,5,5,8,4,11,4,5,5,4,4,8,6,7,6,7,6,7,5,7,3,8,7,8,12,49,91,195,1500,226,98,60,53,38,32,13,3,3,8,8,7,7,6
C030,19,25,31,39,35,29,17,0,4,10,0,11,7,8,7,6,8,9,1,6,7,6,10,9,9,27,88,95,226,1271,207,152,73,64,45,32,6,6,6,0,7,6,3
C031,8,2,12,13,1,8,7,11,22,8,6,9,5,10,5,6,5,5,3,7,4,4,5,14,6,21,57,65,98,207,1185,262,163,136,101,56,21,9,7,7,7,6,5
C032,4,5,4,7,6,8,7,7,2,5,6,6,4,4,6,6,7,7,8,7,7,7,3,6,5,8,31,38,60,152,262,1500,178,163,135,55,25,12,5,2,7,6,7
