step,image_n,image_n_plus_1,inliers,connected
1,booth01_a1_1787070019183.jpg,booth01_a2_1787070037115.jpg,42,True
2,booth01_a2_1787070037115.jpg,booth01_a3_1787070052150.jpg,0,False
3,booth01_a3_1787070052150.jpg,booth02_a1_1787070070691.jpg,20,True
4,booth02_a1_1787070070691.jpg,booth02_a2_1787070091133.jpg,41,True
5,booth02_a2_1787070091133.jpg,booth02_a3_1787070104226.jpg,46,True
6,booth02_a3_1787070104226.jpg,booth03_a1_1787070141591.jpg,52,True
7,booth03_a1_1787070141591.jpg,booth03_a2_1787070152139.jpg,34,True
8,booth03_a2_1787070152139.jpg,booth03_a3_1787070825035.jpg,50,True
9,booth03_a3_1787070825035.jpg,booth04_a1_1787070866680.jpg,15,True
10,booth04_a1_1787070866680.jpg,booth04_a2_1787070881705.jpg,27,True
11,booth04_a2_1787070881705.jpg,booth04_a3_1787070900478.jpg,19,True
12,booth04_a3_1787070900478.jpg,booth05_a1_1787070942987.jpg,0,False
13,booth05_a1_1787070942987.jpg,booth05_a2_1787070958282.jpg,22,True
14,booth05_a2_1787070958282.jpg,booth05_a3_1787071656024.jpg,16,True
15,booth05_a3_1787071656024.jpg,booth06_a1_1787071684860.jpg,16,True
16,booth06_a1_1787071684860.jpg,booth06_a2_1787071694387.jpg,22,True
17,booth06_a2_1787071694387.jpg,booth06_a3_1787071706216.jpg,15,True
18,booth06_a3_1787071706216.jpg,booth07_a1_1787071736522.jpg,18,True
19,booth07_a1_1787071736522.jpg,booth07_a2_1787071748400.jpg,17,True
20,booth07_a2_1787071748400.jpg,booth07_a3_1787072118180.jpg,0,False
21,booth07_a3_1787072118180.jpg,booth08_a1_1787070145436.jpg,0,False
22,booth08_a1_1787070145436.jpg,booth08_a2_1787070160492.jpg,29,True
23,booth08_a2_1787070160492.jpg,booth08_a3_1787072151110.jpg,24,True
24,booth08_a3_1787072151110.jpg,booth09_a1_1787072159575.jpg,20,True
25,booth09_a1_1787072159575.jpg,booth09_a2_1787072171055.jpg,31,True
26,booth09_a2_1787072171055.jpg,booth09_a3_1787072204197.jpg,18,True
27,booth09_a3_1787072204197.jpg,booth10_a1_1787072215608.jpg,18,True
28,booth10_a1_1787072215608.jpg,booth10_a2_1787072461761.jpg,16,True
29,booth10_a2_1787072461761.jpg,booth10_a3_1787072470284.jpg,15,True
30,booth10_a3_1787072470284.jpg,booth11_a1_1787072510070.jpg,29,True
31,booth11_a1_1787072510070.jpg,booth11_a2_1787072522975.jpg,51,True
32,booth11_a2_1787072522975.jpg,booth11_a3_1787072531860.jpg,76,True
33,booth11_a3_1787072531860.jpg,booth12_a1_1787072574121.jpg,27,True
34,booth12_a1_1787072574121.jpg,booth12_a2_1787072821602.jpg,21,True
35,booth12_a2_1787072821602.jpg,booth12_a3_1787072832412.jpg,34,True
36,booth12_a3_1787072832412.jpg,booth13_a1_1787070148283.jpg,17,True
37,booth13_a1_1787070148283.jpg,booth13_a2_1787070161777.jpg,22,True
38,booth13_a2_1787070161777.jpg,booth13_a3_1787072876447.jpg,21,True
39,booth13_a3_1787072876447.jpg,booth14_a1_1787072887703.jpg,0,False
40,booth14_a1_1787072887703.jpg,booth14_a2_1787072899193.jpg,0,False
41,booth14_a2_1787072899193.jpg,booth14_a3_1787072979702.jpg,0,False
42,booth14_a3_1787072979702.jpg,booth15_a1_1787073788540.jpg,0,False
43,booth15_a1_1787073788540.jpg,booth15_a2_1787073799068.jpg,18,True
44,booth15_a2_1787073799068.jpg,booth15_a3_1787073807719.jpg,0,False
45,booth15_a3_1787073807719.jpg,booth16_a1_1787073863197.jpg,0,False
46,booth16_a1_1787073863197.jpg,booth16_a2_1787073875235.jpg,20,True
47,booth16_a2_1787073875235.jpg,booth16_a3_1787073886620.jpg,19,True
48,booth16_a3_1787073886620.jpg,booth17_a1_1787070145827.jpg,0,False
49,booth17_a1_1787070145827.jpg,booth17_a2_1787070163341.jpg,28,True
50,booth17_a2_1787070163341.jpg,booth18_a1_1787074134093.jpg,22,True
